date,hour,station,line,pax_TOTAL
2024-03-01,7,Pasco,A,113
2024-03-01,7,Pasteur,B,222
2024-03-01,7,Patricios,H,845
2024-03-01,7,Peru,A,32
2024-03-01,7,Pichincha,E,171
2024-03-01,7,Piedras,A,90
2024-03-01,7,Plaza Miserere,A,920
2024-03-01,7,Plaza de Mayo,A,355
2024-03-01,7,Primera Junta,A,1032
2024-03-01,7,Puan,A,481
2024-03-01,7,Pueyrredon,B,449
2024-03-01,7,Pueyrredon.D,D,2
2024-03-01,7,Pza. de los Virreyes,E,1016
2024-03-01,7,Retiro,C,1574
2024-03-01,7,Retiro E,E,323
2024-03-01,7,Rio de Janeiro,A,579
2024-03-01,7,Rosas,B,2567
2024-03-01,7,Saenz Pena ,A,189
2024-03-01,7,San Jose,E,202
2024-03-01,7,San Juan,C,139
2024-03-01,7,San Pedrito,A,2376
2024-03-01,7,Santa Fe,H,558
2024-03-01,7,Tronador,B,239
2024-03-01,7,Urquiza,E,270
2024-03-01,7,Uruguay,B,175
2024-03-01,7,Varela,E,233
2024-03-01,7,Venezuela,H,374
2024-03-01,8,Acoyte,A,1011
2024-03-01,8,Alberti,A,165
2024-03-01,8,Angel Gallardo,B,938
2024-03-01,8,Avenida La Plata,E,548
2024-03-01,8,Avenida de Mayo,C,71
2024-03-01,8,Boedo,E,436
2024-03-01,8,Bolivar,E,152
2024-03-01,8,Callao.B,B,451
2024-03-01,8,Carabobo,A,981
2024-03-01,8,Carlos Gardel,B,374
2024-03-01,8,Carlos Pellegrini,B,443
2024-03-01,8,Caseros,H,520
2024-03-01,8,Castro Barros,A,585
2024-03-01,8,Catalinas,E,38
2024-03-01,8,Congreso,A,376
2024-03-01,8,Constitucion,C,8839
2024-03-01,8,Cordoba,H,299
2024-03-01,8,Correo Central,E,125
2024-03-01,8,Corrientes,H,198
2024-03-01,8,Diagonal Norte,C,67
2024-03-01,8,Dorrego,B,725
2024-03-01,8,Echeverria,B,694
2024-03-01,8,Emilio Mitre,E,529
2024-03-01,8,Entre Rios,E,298
2024-03-01,8,Facultad de Derecho,H,62
2024-03-01,8,Federico Lacroze,B,2777
2024-03-01,8,Flores,A,1214
2024-03-01,8,Florida,B,153
2024-03-01,8,General Belgrano,E,118
2024-03-01,8,General San Martin,C,84
2024-03-01,8,Hospitales,H,1724
2024-03-01,8,Humberto I,H,448
2024-03-01,8,Inclan,H,503
2024-03-01,8,Independencia,C,247
2024-03-01,8,Independencia.H,E,168
2024-03-01,8,Jose Maria Moreno,E,502
2024-03-01,8,Jujuy,E,206
2024-03-01,8,Juramento,D,1
2024-03-01,8,Las Heras,H,331
2024-03-01,8,Lavalle,C,92
2024-03-01,8,Leandro N. Alem,B,677
2024-03-01,8,Lima,A,226
2024-03-01,8,Loria,A,517
2024-03-01,8,Los Incas,B,749
2024-03-01,8,Malabia,B,1211
2024-03-01,8,Mariano Moreno,C,90
2024-03-01,8,Medalla Milagrosa,E,241
2024-03-01,8,Medrano,B,907
2024-03-01,8,Ministro Carranza,D,1
2024-03-01,8,Once,H,910
2024-03-01,8,Pasco,A,119
2024-03-01,8,Pasteur,B,306
2024-03-01,8,Patricios,H,760
2024-03-01,8,Peru,A,2
2024-03-01,8,Pichincha,E,222
2024-03-01,8,Piedras,A,126
2024-03-01,8,Plaza Italia,D,2
2024-03-01,8,Plaza Miserere,A,1226
2024-03-01,8,Plaza de Mayo,A,392
2024-03-01,8,Primera Junta,A,1241
2024-03-01,8,Puan,A,686
2024-03-01,8,Pueyrredon,B,543
2024-03-01,8,Pueyrredon.D,D,6
2024-03-01,8,Pza. de los Virreyes,E,1014
2024-03-01,8,Retiro,C,2251
2024-03-01,8,Retiro E,E,473
2024-03-01,8,Rio de Janeiro,A,843
2024-03-01,8,Rosas,B,3260
2024-03-01,8,Saenz Pena ,A,255
2024-03-01,8,San Jose,E,207
2024-03-01,8,San Juan,C,176
2024-03-01,8,San Pedrito,A,3012
2024-03-01,8,Santa Fe,H,604
2024-03-01,8,Tronador,B,355
2024-03-01,8,Urquiza,E,397
2024-03-01,8,Uruguay,B,279
2024-03-01,8,Varela,E,301
2024-03-01,8,Venezuela,H,471
2024-03-01,9,Acoyte,A,842
2024-03-01,9,Aguero,D,3
2024-03-01,9,Alberti,A,159
2024-03-01,9,Angel Gallardo,B,837
2024-03-01,9,Avenida La Plata,E,410
2024-03-01,9,Avenida de Mayo,C,126
2024-03-01,9,Boedo,E,346
2024-03-01,9,Bolivar,E,154
2024-03-01,9,Callao.B,B,481
2024-03-01,9,Carabobo,A,705
2024-03-01,9,Carlos Gardel,B,399
2024-03-01,9,Carlos Pellegrini,B,419
2024-03-01,9,Caseros,H,356
2024-03-01,9,Castro Barros,A,571
2024-03-01,9,Catalinas,E,61
2024-03-01,9,Catedral,D,2
2024-03-01,9,Congreso,A,423
2024-03-01,9,Constitucion,C,6087
2024-03-01,9,Cordoba,H,272
2024-03-01,9,Correo Central,E,110
2024-03-01,9,Corrientes,H,142
2024-03-01,9,Diagonal Norte,C,68
2024-03-01,9,Dorrego,B,714
2024-03-01,9,Echeverria,B,387
2024-03-01,9,Emilio Mitre,E,347
2024-03-01,9,Entre Rios,E,234
2024-03-01,9,Facultad de Derecho,H,81
2024-03-01,9,Federico Lacroze,B,2174
2024-03-01,9,Flores,A,886
2024-03-01,9,Florida,B,186
2024-03-01,9,General Belgrano,E,116
2024-03-01,9,General San Martin,C,89
2024-03-01,9,Hospitales,H,1092
2024-03-01,9,Humberto I,H,380
2024-03-01,9,Inclan,H,318
2024-03-01,9,Independencia,C,213
2024-03-01,9,Independencia.H,E,172
2024-03-01,9,Jose Hernandez,D,1
2024-03-01,9,Jose Maria Moreno,E,344
2024-03-01,9,Jujuy,E,173
2024-03-01,9,Las Heras,H,303
2024-03-01,9,Lavalle,C,100
2024-03-01,9,Leandro N. Alem,B,548
2024-03-01,9,Lima,A,222
2024-03-01,9,Loria,A,453
2024-03-01,9,Los Incas,B,557
2024-03-01,9,Malabia,B,1009
2024-03-01,9,Mariano Moreno,C,97
2024-03-01,9,Medalla Milagrosa,E,173
2024-03-01,9,Medrano,B,826
2024-03-01,9,Once,H,683
2024-03-01,9,Pasco,A,170
2024-03-01,9,Pasteur,B,328
2024-03-01,9,Patricios,H,564
2024-03-01,9,Peru,A,1
2024-03-01,9,Pichincha,E,173
2024-03-01,9,Piedras,A,178
2024-03-01,9,Plaza Italia,D,2
2024-03-01,9,Plaza Miserere,A,1075
2024-03-01,9,Plaza de Mayo,A,436
2024-03-01,9,Primera Junta,A,1061
2024-03-01,9,Puan,A,494
2024-03-01,9,Pueyrredon,B,561
2024-03-01,9,Pueyrredon.D,D,5
2024-03-01,9,Pza. de los Virreyes,E,717
2024-03-01,9,Retiro,C,1932
2024-03-01,9,Retiro E,E,439
2024-03-01,9,Rio de Janeiro,A,604
2024-03-01,9,Rosas,B,2160
2024-03-01,9,Saenz Pena ,A,232
2024-03-01,9,San Jose,E,132
2024-03-01,9,San Juan,C,178
2024-03-01,9,San Pedrito,A,1946
2024-03-01,9,Santa Fe,H,525
2024-03-01,9,Scalabrini Ortiz,D,1
2024-03-01,9,Tronador,B,338
2024-03-01,9,Urquiza,E,243
2024-03-01,9,Uruguay,B,340
2024-03-01,9,Varela,E,165
2024-03-01,9,Venezuela,H,395
2024-03-01,10,Acoyte,A,636
2024-03-01,10,Alberti,A,196
2024-03-01,10,Angel Gallardo,B,607
2024-03-01,10,Avenida La Plata,E,280
2024-03-01,10,Avenida de Mayo,C,162
2024-03-01,10,Boedo,E,255
2024-03-01,10,Bolivar,E,213
2024-03-01,10,Callao.B,B,566
2024-03-01,10,Carabobo,A,472
2024-03-01,10,Carlos Gardel,B,419
2024-03-01,10,Carlos Pellegrini,B,534
2024-03-01,10,Caseros,H,258
2024-03-01,10,Castro Barros,A,460
2024-03-01,10,Catalinas,E,55
2024-03-01,10,Catedral,D,1
2024-03-01,10,Congreso,A,445
2024-03-01,10,Constitucion,C,3860
2024-03-01,10,Cordoba,H,315
2024-03-01,10,Correo Central,E,120
2024-03-01,10,Corrientes,H,170
2024-03-01,10,Diagonal Norte,C,106
2024-03-01,10,Dorrego,B,555
2024-03-01,10,Echeverria,B,282
2024-03-01,10,Emilio Mitre,E,202
2024-03-01,10,Entre Rios,E,179
2024-03-01,10,Facultad de Derecho,H,159
2024-03-01,10,Federico Lacroze,B,1354
2024-03-01,10,Flores,A,554
2024-03-01,10,Florida,B,383
2024-03-01,10,General Belgrano,E,163
2024-03-01,10,General San Martin,C,154
2024-03-01,10,Hospitales,H,693
2024-03-01,10,Humberto I,H,274
2024-03-01,10,Inclan,H,274
2024-03-01,10,Independencia,C,233
2024-03-01,10,Independencia.H,E,160
2024-03-01,10,Jose Maria Moreno,E,200
2024-03-01,10,Jujuy,E,129
2024-03-01,10,Juramento,D,1
2024-03-01,10,Las Heras,H,316
2024-03-01,10,Lavalle,C,147
2024-03-01,10,Leandro N. Alem,B,472
2024-03-01,10,Lima,A,274
